id	contrat	analyse
ACCURACY	Les Shiv infligent +4→6 dégâts.	Améliore un type précis de jeton ; sans production de Shiv, l’investissement ne fait rien. Cumuler création et amplification produit une croissance multiplicative.
ACROBATICS	Pioche 3→4 ; défausse une carte choisie.	Cherche des réponses tout en activant les défausses. L’énergie dépensée devient rentable si le deck finance ensuite les cartes trouvées.
ADRENALINE	+1→2 énergie, pioche 2 ; Épuisement ; coût 0.	Accélère les deux ressources du tour, sans dette de PV. Reste soumis à la place en main et aux réactions par carte jouée.
AFTER_IMAGE	Chaque carte jouée donne B1 ; amélioration : Innée.	La défense suit le volume de jeu. Protège contre de nombreuses petites menaces, mais n’annule pas automatiquement tout dégât réactif selon son ordre de résolution.
ALL_OUT_ATTACK	D10→14 à tous ; défausse une carte aléatoire.	Attaque de groupe et déclencheur de défausse, avec risque de perdre la réponse à conserver. Jouer les cartes prioritaires avant réduit ce risque.
A_THOUSAND_CUTS	Chaque carte jouée inflige D1→2 à tous.	Amplifie le volume, y compris les compétences. Son installation est chère ; la valeur double à l’amélioration mais exige assez d’actions ensuite.
BACKFLIP	B5→8 ; pioche 2.	Relie défense et circulation, avec bénéfice de Dextérité. N’apporte pas seul l’énergie nécessaire aux longues chaînes.
BACKSTAB	D11→15 ; Innée ; Épuisement ; coût 0.	Fiabilise le premier tour agressif, puis libère les cycles suivants. Plusieurs Innées peuvent aussi chasser une défense indispensable de la main initiale.
BANE	D7→10 ; si la cible est empoisonnée après le premier impact, deuxième impact de même valeur.	Pont entre poison et attaques, sans consommation du poison. Envenom peut poser le poison sur le premier impact non bloqué ; la Force profite aux deux.
BLADE_DANCE	Crée 3→4 Shiv en main.	Une pioche devient plusieurs attaques, avec synergies par carte, par attaque et par épuisement. Coûte aussi des places en main et des réactions adverses.
BLUR	B5→8 ; conserve le blocage au début du prochain tour.	Reporte un excédent de défense. Plusieurs applications allongent la conservation ; sans excédent, la clause ne produit pas de blocage supplémentaire.
BOUNCING_FLASK	3 Poison sur une cible aléatoire, répété 3→4 fois.	Excellent concentrateur sur cible unique et plusieurs tentatives contre Artefact. L’amélioration ajoute un rebond ; le hasard disperse face à un groupe.
BULLET_TIME	Interdit la pioche puis met les cartes déjà en main à coût 0 ce tour ; coût 3→2 ; Épuisement.	Demande de remplir la main avant. Ne crée pas d’énergie et n’offre pas une quantité X gratuite aux cartes à coût X.
BURST	Ce tour, la prochaine compétence → les 2 prochaines compétences sont résolues deux fois.	Double poison, blocage ou manipulation de main. Catalyst devient un multiplicateur de multiplicateur ; le choix d’ordre devient déterminant.
CALCULATED_GAMBLE	Défausse le reste de la main puis repioche autant ; coût 0 ; Épuisement retiré en amélioration.	Change une mauvaise main et active Reflex/Tactician. La version améliorée peut boucler ; sans déclencheurs, elle ne crée pas spontanément des cartes nettes.
CALTROPS	Riposte D3→5 à chaque impact d’attaque reçu.	Punit les rafales, même bloquées. Peu rentable contre les ennemis qui frappent rarement ou surtout par pertes de PV hors attaque.
CATALYST	Double → triple le poison de la cible ; Épuisement.	Amplificateur sans valeur à poison nul. Le bon moment dépend du risque de mourir avant le tic, de la durée du combat et d’une purge adverse.
CHOKE	D12 ; chaque carte jouée ensuite ce tour fait perdre 3→5 PV à cette cible.	Valorise une longue séquence après installation. Le gain secondaire ne suit pas la Force et demande encore assez de cartes et d’énergie.
CLOAK_AND_DAGGER	B6 ; crée 1→2 Shiv.	Défense qui prépare des attaques gratuites. L’amélioration ajoute une action et un épuisement plutôt que du blocage de base.
CONCENTRATE	Défausse 3→2 cartes choisies ; gagne 2 énergie ; coût 0.	Convertit une main abondante en carburant. Avec Tactician/Reflex, le coût devient bénéfice ; une main pauvre rend la carte difficile à rentabiliser.
CORPSE_EXPLOSION	Poison 6→9 ; à la mort de la cible, dégâts à tous les autres ennemis égaux à ses PV max ; ne s’épuise pas.	Transforme une cible prioritaire en solution de groupe. Le gain principal vient du marquage de mort, distinct du poison et sensible séparément à Artefact.
CRIPPLING_POISON	Poison 4→7 et Faible 2 à tous ; Épuisement.	Pose une horloge offensive tout en achetant du temps. Deux fonctions simultanées expliquent le coût plus élevé qu’un poison simple.
DAGGER_SPRAY	D4→6 à tous, deux impacts.	Nettoyage de groupe bénéficiant deux fois de Force. Des réactions par impact peuvent rendre la zone plus coûteuse qu’elle ne paraît.
DAGGER_THROW	D9→12 ; pioche 1 puis défausse 1.	Attaque de sélection et déclencheur de défausse. Son remplacement apparent masque la perte d’une carte de main supplémentaire.
DASH	B10→13 puis D10→13.	Concentre deux besoins dans une pioche. Défendre avec une attaque contourne certaines sanctions visant les compétences, mais le coût 2 réduit la souplesse.
