id	contrat	analyse
ADAPTATION	Rushdown : entrer en Wrath fait piocher 2 ; coût 1→0.	Transforme une prise de risque en circulation. Avec sortie de Calm et deck assez réduit, peut financer une boucle ; entrer dans une posture déjà active ne suffit pas.
ALPHA	Mélange Beta dans la pioche ; Épuisement ; amélioration : Innée.	Première étape d’un moteur à trois cartes et 6 énergie de base. La fiabilité d’accès et la survie pendant l’installation comptent autant que la récompense.
BATTLEHYMN	Début de tour : crée Smite en main ; amélioration : Innée.	Production récurrente d’attaques retenues, qui prépare une fenêtre de posture. Trop de jetons peuvent saturer la main et ralentir les pioches utiles.
BLASPHEMY	Entre en Divinity ; mort au début du prochain tour ; Épuisement ; amélioration : Retain.	Outil de fin calculée, pas simple amplification gratuite. Retain permet d’attendre une main létale ; la dette n’est pas un malus supprimable ordinaire.
BOWLINGBASH	D7→10 sur une cible, un impact par ennemi vivant.	Le groupe fournit une rafale concentrée. Tuer d’autres ennemis avant réduit le nombre d’impacts ; Force s’applique à chacun.
BRILLIANCE	D12→16 + tout le Mantra gagné dans ce combat.	Valorise l’historique de Mantra, même dépensé. Une récompense secondaire d’une voie de posture, sans multiplier son nombre d’impacts.
CARVEREALITY	D6→10 ; ajoute Smite en main.	Découpe l’offensive entre maintenant et plus tard. L’amélioration du parent ne rend pas automatiquement le Smite amélioré.
CLEARTHEMIND	Tranquility : Retain ; entre en Calm ; Épuisement ; coût 1→0.	Sortie de Wrath disponible à la demande et réserve d’énergie future à la sortie de Calm. Une seule utilisation par combat normalement.
COLLECT	Coût X ; début de chacun des X→X+1 prochains tours : Miracle amélioré en main ; Épuisement.	Convertit énergie actuelle en réserves retenues futures. Le nombre de tours restants et la place en main limitent le remboursement.
CONCLUDE	D12→16 à tous ; termine immédiatement le tour.	Puissance conditionnée par une contrainte d’ordre. En Wrath, finir le tour sans sortie peut rendre la zone suicidaire si un ennemi survit.
CONJUREBLADE	Coût X ; mélange Expunger avec X→X+1 impacts dans la pioche ; Épuisement.	Investissement différé : il faudra encore trouver et payer l’attaque. L’amélioration ajoute un impact à la carte produite, pas des dégâts par coup.
CONSECRATE	D5→8 à tous ; coût 0.	Débouché immédiat pour un tour de posture offensif. Le coût de pioche et la multiplicité des cibles déterminent sa valeur réelle.
CRESCENDO	Retain ; entre en Wrath ; Épuisement ; coût 1→0.	Garde une entrée offensive pour le bon moment. La sécurité exige une sortie, un blocage suffisant ou la mort de toutes les menaces.
CRUSHJOINTS	D8→10 ; si la dernière carte jouée du combat était une compétence, Vulnérable 1→2.	Fait de l’ordre de jeu une ressource. La condition peut traverser une fin de tour ; ne pas la remplacer par une condition de ce tour seulement.
CUTTHROUGHFATE	D7→9 ; Scry 2→3 puis pioche 1.	Combine attaque et contrôle du prochain accès. On peut défausser plusieurs cartes vues pour chercher plus loin, au prix de renoncer à ces options immédiates.
DECEIVEREALITY	B4→7 ; crée Safety en main.	Sépare défense immédiate et réserve retenue. L’amélioration du parent ne change pas le Safety sans autre effet d’amélioration.
DEFEND_P	B5→8.	Défense de référence ; sa valeur relative baisse lorsque la posture double les menaces ou que les changements de posture génèrent eux-mêmes du blocage.
DEUSEXMACHINA	Injouable ; à la pioche, crée 2→3 Miracle puis s’épuise.	Récompense la pioche effective, pas une simple mise en main par tutorat. Les jetons peuvent être gardés, sous réserve de capacité.
DEVAFORM	Début des tours suivants : énergie bonus 1, puis 2, puis 3… ; Éthérée retirée en amélioration.	Croissance d’énergie très longue à installer pour 3. Sans accès aux cartes, une énergie énorme reste inutilisée.
DEVOTION	Début de tour : Mantra +2→3.	Programme des fenêtres Divinity sans rejouer une carte. Les seuils de dix font qu’un petit bonus peut avancer tout un tour offensif.
EMPTYBODY	B7→10 puis quitte la posture actuelle.	Défense et sortie de risque réunies. Quitter Calm rembourse de l’énergie ; quitter Wrath évite une amplification des prochaines attaques adverses.
EMPTYFIST	D9→14 puis quitte la posture.	Frappe bénéficie encore de la posture active avant la sortie. Bon exemple d’un ordre de résolution qui crée une identité tactique.
EMPTYMIND	Pioche 2→3 puis quitte la posture.	Sortie de Calm qui peut fournir énergie et cartes. La sécurité dépend du contenu trouvé et de la posture quittée.
ERUPTION	D9 puis entre en Wrath ; coût 2→1.	L’amélioration libère l’énergie pour profiter immédiatement de Wrath ou en sortir. L’impact initial n’est pas doublé par l’entrée qui vient après.
ESTABLISHMENT	Une carte retenue perd 1 coût pour le reste du combat ; amélioration : Innée.	Transforme l’attente en économie. Demande une vraie rétention ; conserver la main via une règle de non-défausse n’est pas automatiquement équivalent.
EVALUATE	B6→10 ; mélange Insight dans la pioche.	Défend maintenant et ajoute une réserve de pioche future. Le jeton doit d’abord être trouvé ; il peut retarder une carte déjà présente.
FASTING2	Force et Dextérité +3→4 chacune ; énergie de début de tour −1.	Puissance immédiate avec capacité d’action future réduite. Très dépendant d’énergie alternative, de cartes gratuites et d’un éventuel Artefact préalable.
FEARNOEVIL	D8→11 ; entre en Calm si la cible prévoit une attaque.	Sortie offensive de Wrath conditionnée à l’intention. La condition évite de confondre cette carte avec une sortie toujours disponible.
FLURRYOFBLOWS	D4→6 ; coût 0 ; revient de défausse en main à chaque changement de posture.	La posture devient un moteur de rejouage. Retours sans pioche, mais place en main et limites de cartes jouées restent actives.
FLYINGSLEEVES	Retain ; D4→6 deux fois.	Attaque stockable pour un tour amplifié. Deux impacts bénéficient de Force et de Vigor, avec les risques de riposte correspondants.
FOLLOWUP	D7→11 ; si dernière carte jouée du combat était une attaque, +1 énergie après paiement.	Se rembourse en respectant une séquence. Peut traverser les tours ; l’énergie doit généralement être disponible avant le remboursement.
FOREIGNINFLUENCE	Choisit une attaque parmi 3 de toutes couleurs, créée en main ; Épuisement ; coût 0 ; amélioration : attaque gratuite ce tour.	Offre un choix parmi du hasard, souvent amplifié par les postures. Une sortie de posture ou un coût X demandent une lecture spécifique.
HALT	B3→4 ; si en Wrath, gain séparé B9→14 ; coût 0.	Protection accrue dans la posture risquée. Deux gains de blocage distincts influencent Dextérité et les réactions au gain de blocage.
INDIGNATION	Si déjà en Wrath : Vulnérable 3→5 à tous ; sinon entre en Wrath.	Carte à deux usages selon l’état. Ne donne pas simultanément l’entrée et la vulnérabilité dans la résolution normale.
INNERPEACE	Si déjà en Calm : pioche 3→4 ; sinon entre en Calm.	Sert de sortie sûre ou de circulation, selon la posture. Très utile pour préparer les boucles, mais les deux effets sont alternatifs.
