id	contrat	analyse
AGGREGATE	+1 énergie par groupe complet de 4→3 cartes dans la pioche.	Récompense une pioche encore pleine ; piocher avant de le jouer peut réduire son financement. Gros deck et deck rapide ne sont pas synonymes.
ALL_FOR_ONE	D10→14 ; récupère en main les cartes à coût 0 de la défausse.	Convertit un historique de petites actions en nouveau tour. Dépend des coûts actuels, de la place en main et d’une défausse bien préparée.
AMPLIFY	Ce tour, prochain pouvoir → 2 prochains pouvoirs résolus deux fois.	Accélère une installation persistante. Ne duplique rien sans pouvoir à jouer et ne rembourse pas son propre coût.
AUTO_SHIELDS	Si blocage actuel nul : B11→15.	Défense efficace avec contrainte d’ordre. Un petit gain préalable de Frost ou de relique peut désactiver la carte.
BALL_LIGHTNING	D7→10 ; canalise 1 Foudre.	Attaque immédiate et installation récurrente en une carte. L’amélioration ne renforce pas l’orbe ; Focus reste une autre voie de croissance.
BARRAGE	D4→6 par emplacement occupé par un orbe.	Transforme le moteur d’orbes en rafale de Force. Compte les orbes présents, pas toutes les canalisations passées.
BEAM_CELL	D3→4 puis Vulnérable 1→2 ; coût 0.	Prépare les attaques à coût zéro ; Vulnérable n’amplifie pas directement Foudre ou Ténèbres. Mélanger ces voies sans compter leurs bénéficiaires dilue l’effet.
BIASED_COGNITION	Focus +4→5 ; début de chaque tour suivant, Focus −1.	Accélération immédiate avec dette cumulative. Artefact préalable peut empêcher Bias ; bon timing près de la fin, ou suppression de la dette.
BLIZZARD	D2→3 par Frost canalisé depuis le début du combat, à tous.	Attaque fondée sur une histoire de production, pas sur Focus. Lent à monter ; les orbes défensifs doivent d’abord permettre cette durée.
BOOTSEQUENCE	B10→13 ; coût 0 ; Innée ; Épuisement.	Protège le tour d’installation, puis disparaît. La place de main initiale est son coût caché, surtout avec beaucoup d’Innées.
BUFFER	Annule les 1→2 prochains événements de perte de PV.	Protège très bien d’un gros coup ; une petite perte peut consommer une charge. Ce n’est pas un nombre de tours d’Intangible.
CAPACITOR	Ajoute 2→3 emplacements d’orbes.	Augmente la capacité passive, mais retarde les évocations par débordement. Demande de remplir les nouveaux emplacements pour rentabiliser l’action.
CHAOS	Canalise 1→2 orbes aléatoires.	Diversifie les ressources à bas coût ; moins fiable pour une réponse exacte. L’ordre obtenu change la prochaine évocation.
CHILL	Canalise un Frost par ennemi vivant ; coût 0 ; Épuisement ; amélioration : Innée.	La difficulté numérique du groupe devient production défensive. Plus de cibles peut aussi provoquer des évocations immédiates.
COLD_SNAP	D6→9 ; canalise un Frost.	Attaque qui laisse une défense récurrente. Ne pas confondre le blocage futur de l’orbe avec un blocage immédiat à la résolution.
COMPILE_DRIVER	D7→10 ; pioche une carte par type d’orbe différent présent.	Récompense la diversité plutôt que la quantité. Un deck mono-Frost peut défendre fort tout en tirant peu de cette carte.
CONSERVE_BATTERY	B7→10 ; +1 énergie au prochain tour.	Défend en préparant le financement suivant. La valeur temporelle est perdue si le prochain tour manque de cartes utiles.
CONSUME	Focus +2→3 ; supprime un emplacement d’orbe ; ne s’épuise pas.	Échange capacité contre puissance par emplacement. Très dépendant du nombre d’emplacements restant et des moyens d’en recréer.
COOLHEADED	Canalise un Frost ; pioche 1→2.	Défense future et circulation. L’amélioration peut devenir une pièce de moteur même si le besoin initial était simplement de survivre.
CORE_SURGE	D11→15 ; Artefact +1 ; Épuisement.	Attaque et protection contre une dette future. La valeur de l’Artefact dépend de ce qui sera appliqué ensuite, notamment Biased Cognition.
CREATIVE_AI	Début de tour : pouvoir aléatoire en main ; coût 3→2.	Production longue qui nourrit Storm/Heatsinks. Les pouvoirs créés ne sont pas tous immédiatement jouables ; énergie et temps d’installation limitent le moteur.
DARKNESS	Canalise Ténèbres ; amélioration : déclenche ensuite le passif de tous les orbes Ténèbres.	La version améliorée accélère les charges déjà installées. Préparer l’ordre des orbes permet de choisir quand convertir cette réserve en dégâts.
DEFEND_B	B5→8.	Défense directe stable pendant l’installation. Les Frost et le Focus peuvent ensuite remplir ce rôle sans repayer une carte chaque tour.
DEFRAGMENT	Focus +1→2.	Petit investissement qui amplifie plusieurs orbes et plusieurs tours. Doubler le bonus n’implique pas doubler les dégâts totaux du deck.
DOOM_AND_GLOOM	D10→14 à tous ; canalise Ténèbres.	Traite les petites cibles tout en préparant un gros impact différé sur le survivant. Relie deux horizons de combat.
DOUBLE_ENERGY	Double l’énergie restante après paiement ; Épuisement ; coût 1→0.	À 3 énergie, version normale termine à 4, améliorée à 6. La formule dépend du moment du paiement, pas seulement du mot doubler.
DUALCAST	Évoque le prochain orbe deux fois ; coût 1→0.	Monétise immédiatement une installation ; deux évocations du même orbe, pas les deux prochains orbes. Excellent sur une charge Ténèbres préparée.
ECHO_FORM	Première carte jouée de chaque tour résolue deux fois ; Éthérée retirée par amélioration.	Transforme le premier choix de chaque tour en décision majeure. Améliorer facilite la conservation en attendant un tour d’installation sûr.
ELECTRODYNAMICS	La Foudre touche tous les ennemis ; canalise 2→3 Foudres.	Change une règle de ciblage et fournit immédiatement sa matière première. Sa valeur relative augmente avec le nombre de cibles.
FISSION	Supprime tous les orbes ; +1 énergie et pioche 1 par orbe ; Épuisement ; amélioration : les évoque au lieu de les supprimer.	Convertit une installation en accès et financement. L’amélioration récupère aussi les effets de sortie : changement fonctionnel bien plus grand qu’un bonus plat.
FORCE_FIELD	B12→16 ; coût initial 4, réduit de 1 par pouvoir joué dans ce combat.	Récompense l’installation déjà accomplie. Mauvaise défense d’ouverture sans pouvoirs ; les futurs coûts n’annulent pas le coût de pioche actuel.
FTL	D5→6 ; pioche 1 si moins de 3→4 cartes ont déjà été jouées ce tour ; coût 0.	Attaque de début de séquence. Le seuil amélioré ajoute de la souplesse d’ordre, pas une pioche inconditionnelle.
FUSION	Canalise un Plasma ; coût 2→1.	Installe une source d’énergie ou prépare son évocation. Ne profite pas de Focus ; il faut des cartes pour dépenser l’énergie obtenue.
GASH	Claw : D3→5 ; toutes les Claw voient leurs dégâts augmenter de 2 pour le combat.	Croissance collective par rejouage. La rareté des copies et la vitesse de cycle importent davantage que le coût nul seul.
