id	contrat	analyse
ANGER	D6→8 ; crée une copie de soi en défausse.	Attaque gratuite qui devient son propre carburant ; la multiplication encombre aussi les prochaines mains et dilue les défenses.
ARMAMENTS	B5 ; améliore une carte en main pour ce combat → toutes les cartes en main.	L’amélioration augmente la couverture, pas le blocage. La valeur dépend des cartes améliorables que l’on pourra effectivement jouer, puis de leurs éventuels rejouages.
BARRICADE	Le blocage persiste entre les tours ; coût 3→2.	Transforme une défense excédentaire en réserve et permet Entrench/Body Slam. Installer une réserve vide coûte un tour dangereux.
BASH	D8→10, puis Vulnérable 2→3.	Prépare les attaques suivantes ; ses propres dégâts ne profitent pas de la vulnérabilité nouvellement posée. Le tour supplémentaire ouvre une nouvelle main amplifiée.
BATTLE_TRANCE	Pioche 3→4, puis interdit de piocher ce tour ; coût 0.	Accélération immédiate avec verrou de séquençage : jouer après les autres pioches. Mettre une carte en main reste distinct de piocher.
BERSERK	Subit Vulnérable 2→1 ; +1 énergie au début des tours suivants.	Finance les combats longs. L’amélioration raccourcit l’exposition ; Artefact peut empêcher cette dette initiale.
BLOODLETTING	Perd 3 PV ; gagne 2→3 énergie.	Convertit la santé en tempo et déclenche Rupture/Blood for Blood. Mauvais échange si aucune carte utile ne dépense l’énergie.
BLOOD_FOR_BLOOD	D18→22 ; coût initial 4→3, réduit de 1 par événement de perte de PV du combat.	Compte les pertes distinctes, pas leur quantité. Le coût peut devenir nul ; provoquer artificiellement les pertes comporte un vrai risque de survie.
BLUDGEON	D32→42 pour 3 énergie.	Concentre la puissance dans une seule pioche, mais monopolise un tour à trois énergie. Bonne cible de gratuité ou de duplication.
BODY_SLAM	D égal au blocage actuel ; coût 1→0 ; ne consomme pas ce blocage.	Convertit un investissement défensif en attaque. Avec conservation et doublement du blocage, la réserve profite plusieurs fois.
BRUTALITY	Début de tour : −1 PV et pioche 1 ; amélioration : Innée.	Accès récurrent aux cartes et déclencheur de sacrifice. Innée stabilise l’installation mais prend une place d’ouverture.
BURNING_PACT	Épuise une carte choisie en main, puis pioche 2→3.	Remplace une mauvaise carte et accélère les futurs cycles ; excellent pont entre épuration, Feel No Pain et Dark Embrace.
CARNAGE	D20→28 ; Éthérée.	Gros impact précoce ; si la main impose de défendre, on peut accepter sa disparition pour alléger le combat.
CLASH	D14→18 ; jouable seulement si toute la main est composée d’attaques.	Gratuité conditionnée par une main nettoyée. Statuts et malédictions rendent la condition fragile, notamment Ascender’s Bane.
CLEAVE	D8→11 à tous les ennemis.	Réponse simple aux groupes, disponible sans moteur. Le bonus total dépend du nombre de cibles mais tuer une cible prioritaire peut rester préférable.
CLOTHESLINE	D12→14, puis Faible 2→3.	Attaque et réduction des dégâts futurs réunies. L’amélioration prolonge la fenêtre défensive sans augmenter le pourcentage de Faible.
COMBUST	Fin de tour : −1 PV et D5→7 à tous les ennemis.	Dégâts répétés sans rejouer une carte ; bénéficie de la durée et des groupes. La perte de PV alimente Rupture, pas la Force directement.
CORRUPTION	Compétences à coût 0 ; les compétences jouées s’épuisent ; coût 3→2.	Échange la durée de vie des compétences contre une forte accélération. Très puissant avec des déclencheurs d’épuisement, mais exige de finir avant épuisement des réponses.
DARK_EMBRACE	Chaque carte épuisée fait piocher 1 ; coût 2→1.	Transforme la destruction en accès aux cartes. La valeur dépend de déclencheurs disponibles et d’une main qui ne déborde pas.
DEFEND_R	B5→8.	Défense de référence, immédiatement fiable. Son coût d’opportunité augmente quand d’autres cartes défendent tout en préparant un moteur.
DEMON_FORM	Début de tour : Force +2→3.	Croissance longue avec coût d’installation élevé. Un combat presque fini ne rembourse pas le tour investi ; Reaper peut valoriser la Force en soins.
DISARM	La cible perd 2→3 Force pour le combat ; Épuisement.	Réduit chaque impact d’une attaque multiple. Son efficacité dépend du profil ennemi ; Artefact peut absorber l’application.
DOUBLE_TAP	Ce tour, la prochaine attaque → les 2 prochaines attaques sont résolues deux fois.	La deuxième résolution ne repaie pas le coût ; favorise attaques chères, multi-impacts et effets utilitaires, sous réserve de leur séquence.
DROPKICK	D5→8 ; si cible Vulnérable, +1 énergie et pioche 1.	Une fois la condition établie, se rembourse en énergie et en carte. Deux copies dans un cycle suffisamment réduit peuvent supprimer la limite de tours.
DUAL_WIELD	Choisit attaque ou pouvoir en main ; en crée 1→2 copies en main.	Multiplie une bonne pièce sans attendre un nouveau cycle. Les copies exigent encore de l’énergie et de la place ; aucun ajout permanent au deck.
ENTRENCH	Double le blocage actuel ; coût 2→1.	Multiplicateur, inutile à zéro. Demande de produire le blocage avant, puis de le dépenser utilement ou de le conserver.
