classe	slug	id	nom	type	contrat	analyse	limite
Huppermage	huppermage	5579	Dynamo	passif	Les runes disparaissent en fin de tour. La dernière rune générée donne accès aux sorts manquants de son élément.	Le choix élémentaire devient aussi un choix d'accès au répertoire ; la réserve ne peut plus être reportée librement.	Durée exacte de l'accès et interaction avec les sorts déjà équipés à reproduire dans le client.
Huppermage	huppermage	5585	Plénitude	passif	Récupérer une rune sur un Feu-Follet donne 30 Abondance ; cette ressource ne se dépense qu'à son maximum.	Remplace de petits décaissements par une fenêtre de conversion préparée.	Ne pas déduire le multiplicateur d'Abondance de son seul nombre de niveaux.
Écaflip	ecaflip	5251	Triche	passif	Première carte du tour gratuite, puis pioche d'une carte ; pioche normale de début de tour réduite à une carte.	Le gain de tempo s'achète avec moins de choix à l'ouverture du tour.	Distinguer pioche normale et effets de Relance ; toutes les cartes ne deviennent pas gratuites.
Écaflip	ecaflip	5246	Tarot divinatoire	passif	Deux cartes blanches consécutives rendent 1 PW ; deux noires donnent 25 Veine ; déclenchement limité à une fois par tour. Relance coûte 3 PA.	La couleur et l'ordre comptent autant que l'effet individuel ; relancer paie la recherche d'une séquence.	Ne pas transformer plusieurs paires en plusieurs remboursements ; les cas mixtes demandent un contrôle du compteur partagé.
Pandawa	pandawa	8595	Marcher droit	passif	Téléportono ne demande plus de ligne de vue, mais son lancement doit être en ligne.	Échange une contrainte d'obstacle contre une contrainte d'alignement.	Ne change pas à lui seul la portée ni la validité des cases de destination.
Pandawa	pandawa	8597	Fermentation lactique	passif	Fin de tour avec son tonneau porté : armure égale à 20 % des PV maximum. Un dégât direct de dos pendant ce portage retire l'armure.	La défense dépend d'un objet et de l'orientation, donc du placement adverse.	Une ligne isolée 245 Armure est aussi affichée : elle n'est pas ajoutée aux 20 %. Ordre retrait/impact non établi.
Pandawa	pandawa	6844	Soif	actif	2 PA ; portée affichée 2–4 ; se rapproche du tonneau ciblé, utilisable en portant un combattant ; deux usages par tour.	Le tonneau sert de destination de transport ; le portage d'un allié reste compatible avec l'approche.	Coût PA confirmé visuellement. Distance parcourue, obstacles et opérateur exact du mouvement non certifiés ici.
Roublard	rogue	7982	Tacticien	passif	Déplacer une bombe rend 1 PA et lui enlève un niveau ; au plus un remboursement par sort et trois PA par tour.	Transformer une réserve de puissance future en budget d'action immédiat donne une raison de déplacer plutôt que seulement faire exploser.	Sort déplaçant plusieurs bombes et perte de niveaux après atteinte du plafond à vérifier ; le calcul ne suppose pas de remboursement supplémentaire.
Roublard	rogue	6484	Démineur	passif	Ruse sur une bombe ne coûte plus de PA mais ne lui donne plus de niveau.	Le placement devient disponible sans investissement de croissance associé.	La fiche déplie aussi Fourbe/Fuyard : leurs lignes ne sont pas toutes des bonus supplémentaires de Démineur.
Roublard	rogue	6488	Fugitif	passif	Début de tour : échange avec la bombe la plus proche à quatre cases au plus.	Le placement de la bombe prépare la position du tour suivant et peut aussi imposer une destination gênante.	Contradiction : Effets ajoute un soin de 10 % PV max ; Description parle de stabilisation de la bombe. Aucun cumul soin/stabilisation certifié.
Sacrieur	sacrier	7214	Jeu dangereux	passif	Sous 35 % de vie : soins reçus +100 % ; à partir de 35 % : soins reçus −75 %.	Le soutien doit choisir son moment : un grand soin peut être efficace dans le danger et faible juste au-dessus du seuil.	Instant de lecture du seuil pour un soin traversant 35 % et ordre avec autres modificateurs à tester.
