id	contrat	analyse
APOTHEOSIS	Améliore les cartes du combat, y compris les autres piles ; Épuisement ; coût 2→1.	Installation globale dont la valeur dépend des améliorations manquantes. Ne constitue pas une amélioration permanente de collection ni des futures cartes créées.
BANDAGE_UP	Soin 4→6 ; Épuisement ; coût 0.	Récupération sans énergie, mais occupe une pioche. La santé pleine ou une interdiction de soin peuvent annuler le bénéfice.
BLIND	Faible 2 sur une cible → tous les ennemis ; coût 0.	L’amélioration change la couverture. Utile pour une classe dépourvue de réduction des attaques et pour consommer des Artefacts.
CHRYSALIS	Crée 3→5 compétences aléatoires dans la pioche, gratuites pour le combat ; Épuisement.	Finance les futures résolutions, mais pas leur accès immédiat. Ajouter du volume peut noyer les cartes cruciales d’un moteur précis.
DARK_SHACKLES	Force de la cible −9→−15 ce tour, puis restitution ; coût 0 ; Épuisement.	Défense monocible très forte contre rafales. L’ordre des malus et restitutions doit être testé face aux purges et Artefacts.
DEEP_BREATH	Remélange la défausse dans la pioche ; pioche 1→2 ; coût 0.	Accélère le retour des bonnes cartes mais redilue aussi la pioche avec les mauvaises. Modifie les calculs de Grand Finale et Stack.
DISCOVERY	Choisit une carte parmi 3 propositions aléatoires ; créée en main, gratuite ce tour ; Épuisement retiré par amélioration.	Offre une adaptation locale sans engager définitivement le deck. La version recyclable peut produire longtemps, avec résultats variables.
DRAMATIC_ENTRANCE	D8→12 à tous ; coût 0 ; Innée ; Épuisement.	Nettoyage garanti d’ouverture, surtout contre groupes. Prend une place initiale même quand une cible unique demanderait autre chose.
ENLIGHTENMENT	Les cartes en main coûtant plus de 1 passent à 1 ce tour → pour le combat ; coût 0.	Économie pour une main chère ; ne renchérit pas les cartes déjà gratuites et ne transforme pas un coût X en montant fixe.
FINESSE	B2→4 et pioche 1 ; coût 0.	Circulation avec petit gain défensif. Peut participer à une boucle, mais chaque carte jouée reste comptée par les contraintes adverses.
FLASH_OF_STEEL	D3→6 et pioche 1 ; coût 0.	Même logique de remplacement avec attaque ; une pioche vide qui remélange assez vite peut rendre les répétitions déterminantes.
